rg,nome,idade,cidade,doenca
31433742,Ann,65,Ribeirão das Neves,catapora
31434519,Axel,18,Contagem,cancer
31435296,Levy,43,Betim,catapora
31436073,Marietta,12,Ribeirão das Neves,cancer
31436850,Hayes,45,Belo Horizonte,cancer
31437627,Neal,55,Santa Luzia,covid-19
31438404,Austin,58,Contagem,covid-19
31439181,Rushie,39,Belo Horizonte,dengue
31439958,Romayne,17,Belo Horizonte,cancer
31440735,Altha,19,Belo Horizonte,catapora
31441512,Ibbie,54,Contagem,gripe
31442289,Bobbie,22,Santa Luzia,cancer
31443066,Lillion,3,Santa Luzia,artrite
31443843,Theresa,46,Betim,pneumonia
31444620,Geneva,81,Belo Horizonte,virose
31445397,Evelyn,97,Ribeirão das Neves,gripe
31446174,Aurora,9,Contagem,gripe
31446951,Metta,11,Betim,cancer
31447728,Orville,8,Contagem,dengue
31448505,Emile,96,Contagem,pneumonia
31449282,Clemmie,56,Santa Luzia,pneumonia
31450059,Sammy,34,Ribeirão das Neves,fibromialgia
31450836,Nana,25,Ribeirão das Neves,fibromialgia
31451613,Madelyn,64,Ribeirão das Neves,febre amarela
31452390,Molly,14,Contagem,pneumonia
31453167,Trudie,47,Betim,covid-19
31453944,Benjaman,40,Santa Luzia,artrite
31454721,Patsie,42,Santa Luzia,virose
31455498,Lorenzo,4,Betim,pneumonia
31456275,Estella,6,Contagem,pneumonia
31457052,Harley,12,Contagem,febre amarela
31457829,Johnny,29,Belo Horizonte,febre amarela
31458606,Pearley,46,Betim,artrite
31459383,Zelpha,19,Belo Horizonte,catapora
31460160,Cleo,61,Santa Luzia,gripe
31460937,Ewell,91,Ribeirão das Neves,virose
31461714,Linwood,10,Belo Horizonte,catapora
31462491,Orphia,88,Contagem,gripe
31463268,Caleb,51,Santa Luzia,artrite
31464045,Ettie,59,Santa Luzia,cancer
31464822,Scottie,50,Ribeirão das Neves,fibromialgia
31465599,Sanders,30,Betim,fibromialgia
31466376,Alida,61,Betim,pneumonia
31467153,Hollis,33,Betim,gripe
31467930,Irven,74,Contagem,pneumonia
31468707,Collins,43,Contagem,catapora
31469484,Bertram,71,Santa Luzia,covid-19
31470261,Jesus,35,Ribeirão das Neves,covid-19
31471038,Lloyd,74,Belo Horizonte,covid-19
31471815,Emmet,60,Santa Luzia,febre amarela
31472592,Sol,78,Ribeirão das Neves,pneumonia
31473369,Senora,65,Santa Luzia,pneumonia
31474146,Rosevelt,81,Santa Luzia,virose
31474923,Bruce,82,Betim,febre amarela
31475700,Estella,73,Belo Horizonte,virose
31476477,Marshal,77,Belo Horizonte,gripe
31477254,Carol,30,Betim,cancer
31478031,Albion,6,Santa Luzia,artrite
31478808,Lossie,22,Belo Horizonte,virose
31479585,Elzie,91,Betim,cancer
31480362,Charles,28,Belo Horizonte,virose
31481139,Dozier,67,Contagem,covid-19
31481916,Lauretta,94,Santa Luzia,gripe
31482693,Walton,41,Contagem,febre amarela
31483470,Florence,75,Santa Luzia,covid-19
31484247,Mat,9,Betim,artrite
31485024,Erminia,44,Betim,cancer
31485801,Laurence,82,Belo Horizonte,cancer
31486578,Lessie,52,Contagem,febre amarela
31487355,Era,7,Belo Horizonte,dengue
31488132,Alease,9,Belo Horizonte,covid-19
31488909,Geneva,43,Betim,catapora
31489686,Haley,50,Ribeirão das Neves,dengue
31490463,Deborah,37,Ribeirão das Neves,dengue
31491240,Annetta,8,Santa Luzia,covid-19
31492017,Aletta,31,Contagem,febre amarela
31492794,Leonore,17,Santa Luzia,virose
31493571,Rosy,88,Contagem,virose
31494348,Martha,63,Belo Horizonte,gripe
31495125,Wanda,66,Contagem,gripe
31495902,Eunice,26,Belo Horizonte,fibromialgia
31496679,Alla,76,Ribeirão das Neves,fibromialgia
31497456,Leon,46,Santa Luzia,febre amarela
31498233,Juan,73,Betim,virose
31499010,Minnie,81,Santa Luzia,febre amarela
31499787,Burt,10,Betim,artrite
31500564,Rafael,10,Contagem,gripe
31501341,Josiah,52,Contagem,catapora
31502118,Permelia,14,Belo Horizonte,virose
31502895,Bruce,1,Santa Luzia,gripe
31503672,Lavern,30,Ribeirão das Neves,pneumonia
31504449,Monica,5,Betim,gripe
31505226,Jonathan,26,Belo Horizonte,dengue
31506003,Emelia,25,Belo Horizonte,virose
31506780,Aretha,10,Ribeirão das Neves,virose
31507557,Larkin,73,Betim,virose
31508334,Velora,37,Contagem,dengue
31509111,West,44,Belo Horizonte,dengue
31509888,Madison,78,Belo Horizonte,cancer
31510665,Sudie,68,Ribeirão das Neves,cancer
31511442,Maxine,61,Santa Luzia,covid-19
31512219,Helena,28,Belo Horizonte,virose
31512996,Hettie,8,Santa Luzia,covid-19
31513773,Zola,1,Contagem,cancer
31514550,Vergie,97,Contagem,dengue
31515327,Glenna,77,Ribeirão das Neves,covid-19
31516104,Venus,45,Contagem,artrite
31516881,Burrell,47,Contagem,febre amarela
31517658,Nella,15,Betim,virose
31518435,Dellie,55,Contagem,catapora
31519212,Darwin,13,Santa Luzia,pneumonia
31519989,Burl,97,Ribeirão das Neves,dengue
31520766,Annabelle,43,Betim,pneumonia
31521543,Leneve,70,Belo Horizonte,febre amarela
31522320,Lois,30,Contagem,fibromialgia
31523097,Venice,9,Contagem,virose
31523874,Florence,46,Contagem,pneumonia
31524651,Noble,64,Santa Luzia,virose
31525428,Twyla,5,Betim,febre amarela
31526205,Benjaman,5,Santa Luzia,pneumonia
31526982,Isabella,55,Ribeirão das Neves,artrite
31527759,Josephine,74,Betim,gripe
31528536,Nola,46,Betim,catapora
31529313,Elda,75,Santa Luzia,artrite
31530090,Flossie,19,Santa Luzia,pneumonia
31530867,Huston,68,Belo Horizonte,cancer
31531644,Buford,76,Ribeirão das Neves,virose
31532421,Edgar,80,Belo Horizonte,gripe
31533198,Nelly,97,Santa Luzia,catapora
31533975,Yola,27,Belo Horizonte,dengue
31534752,Lynette,42,Betim,fibromialgia
31535529,Royal,96,Contagem,covid-19
31536306,Bill,29,Belo Horizonte,febre amarela
31537083,Orah,33,Ribeirão das Neves,fibromialgia
31537860,Perlie,94,Santa Luzia,gripe
31538637,Talmadge,8,Contagem,virose
31539414,Monroe,96,Contagem,artrite
31540191,Verna,47,Belo Horizonte,virose
31540968,Naoma,82,Ribeirão das Neves,febre amarela
31541745,Howell,10,Contagem,virose
31542522,Ollie,96,Contagem,virose
31543299,Wilmer,35,Santa Luzia,pneumonia
31544076,Squire,40,Santa Luzia,febre amarela
31544853,Edra,22,Contagem,dengue
31545630,Sudie,64,Contagem,catapora
31546407,Isam,56,Ribeirão das Neves,pneumonia
31547184,Lyle,43,Ribeirão das Neves,covid-19
31547961,Sloan,41,Contagem,catapora
31548738,Cleo,86,Ribeirão das Neves,dengue
31549515,Reuben,18,Contagem,catapora
31550292,Francisco,8,Ribeirão das Neves,pneumonia
31551069,Cora,49,Contagem,pneumonia
31551846,Roswell,61,Contagem,cancer
31552623,Arther,3,Ribeirão das Neves,virose
31553400,Eathel,15,Betim,cancer
31554177,Corrie,65,Santa Luzia,covid-19
31554954,Idella,97,Ribeirão das Neves,gripe
31555731,Dolph,38,Contagem,febre amarela
31556508,Bernice,56,Betim,covid-19
31557285,Dallie,10,Betim,catapora
31558062,Romeo,85,Santa Luzia,gripe
31558839,Benny,46,Betim,fibromialgia
31559616,Ambrose,96,Santa Luzia,catapora
31560393,Giles,1,Santa Luzia,gripe
31561170,Golda,45,Contagem,cancer
31561947,Rudolph,87,Belo Horizonte,dengue
31562724,Albina,37,Santa Luzia,gripe
31563501,Abraham,99,Belo Horizonte,artrite
31564278,Loraine,83,Santa Luzia,virose
31565055,Ebb,28,Ribeirão das Neves,dengue
31565832,Clifford,18,Belo Horizonte,febre amarela
31566609,Thomasine,93,Contagem,cancer
31567386,Elwood,68,Betim,pneumonia
31568163,Arthur,85,Ribeirão das Neves,pneumonia
31568940,Cyrena,31,Contagem,artrite
31569717,Reola,85,Santa Luzia,catapora
31570494,Leo,67,Betim,dengue
31571271,Rollie,74,Betim,artrite
31572048,Unknown,75,Santa Luzia,gripe
31572825,Adelaide,89,Santa Luzia,virose
31573602,Hadley,29,Santa Luzia,dengue
31574379,Calista,61,Betim,dengue
31575156,Maynard,33,Belo Horizonte,cancer
31575933,Mattye,68,Contagem,febre amarela
31576710,Norene,5,Belo Horizonte,cancer
31577487,Juan,53,Ribeirão das Neves,pneumonia
31578264,Ena,37,Belo Horizonte,covid-19
31579041,Ruben,87,Santa Luzia,dengue
31579818,Stanley,16,Betim,dengue
31580595,Artha,84,Contagem,catapora
31581372,Shirley,48,Ribeirão das Neves,virose
31582149,Macy,6,Betim,virose
31582926,Buck,86,Belo Horizonte,gripe
31583703,Zeta,15,Contagem,cancer
31584480,Doreatha,26,Contagem,artrite
31585257,Mayme,51,Belo Horizonte,dengue
31586034,Lee,39,Santa Luzia,covid-19
31586811,Johnny,2,Betim,covid-19
31587588,Audie,82,Contagem,covid-19
31588365,Almira,79,Contagem,covid-19
31589142,Jettie,83,Betim,fibromialgia
31589919,Waldo,30,Santa Luzia,artrite
31590696,Lella,20,Santa Luzia,febre amarela
31591473,Mariah,72,Belo Horizonte,gripe
31592250,Enriqueta,33,Santa Luzia,cancer
31593027,Lyle,78,Belo Horizonte,dengue
31593804,Alec,32,Santa Luzia,gripe
31594581,Virgle,52,Ribeirão das Neves,pneumonia
31595358,Librada,14,Contagem,gripe
31596135,Ronnie,37,Contagem,fibromialgia
31596912,Larry,94,Belo Horizonte,gripe
31597689,Minnie,41,Contagem,artrite
31598466,Valera,35,Ribeirão das Neves,febre amarela
31599243,Olivia,70,Contagem,dengue
31600020,Chauncey,26,Betim,catapora
31600797,Frances,50,Santa Luzia,febre amarela
31601574,Leo,56,Santa Luzia,artrite
31602351,Eather,14,Contagem,virose
31603128,Teddy,48,Ribeirão das Neves,dengue
31603905,Viney,30,Belo Horizonte,virose
31604682,Isabell,51,Belo Horizonte,virose
31605459,Elijah,44,Ribeirão das Neves,pneumonia
31606236,Antonietta,58,Santa Luzia,cancer
31607013,Rotha,12,Betim,dengue
31607790,Mettie,89,Contagem,febre amarela
31608567,Epsie,59,Belo Horizonte,dengue
31609344,Dillie,72,Ribeirão das Neves,catapora
31610121,Matilda,27,Santa Luzia,covid-19
31610898,Susan,6,Contagem,pneumonia
31611675,Cammie,81,Ribeirão das Neves,febre amarela
31612452,Pinky,41,Belo Horizonte,dengue
31613229,Romayne,6,Ribeirão das Neves,covid-19
31614006,Annabell,78,Contagem,catapora
31614783,Micheal,73,Belo Horizonte,febre amarela
31615560,Corina,83,Ribeirão das Neves,pneumonia
31616337,Bena,76,Belo Horizonte,artrite
31617114,Rosalee,42,Ribeirão das Neves,catapora
31617891,Lorine,87,Belo Horizonte,cancer
31618668,Attie,97,Betim,fibromialgia
31619445,Lila,14,Santa Luzia,catapora
31620222,Basil,61,Contagem,catapora
31620999,Kathaleen,95,Ribeirão das Neves,febre amarela
31621776,Delta,95,Santa Luzia,catapora
31622553,Inga,25,Contagem,artrite
31623330,Burr,40,Santa Luzia,febre amarela
31624107,Ettie,19,Belo Horizonte,pneumonia
31624884,Margarite,52,Belo Horizonte,catapora
31625661,Frederick,16,Contagem,artrite
31626438,Clarence,4,Santa Luzia,artrite
31627215,Librado,47,Ribeirão das Neves,pneumonia
31627992,Lutie,1,Contagem,cancer
31628769,Bertie,24,Betim,virose
31629546,Ned,38,Contagem,fibromialgia
31630323,Lassie,28,Contagem,catapora
31631100,Benjiman,62,Belo Horizonte,dengue
31631877,Lockie,96,Belo Horizonte,dengue
31632654,Sophie,80,Contagem,dengue
31633431,Corene,39,Belo Horizonte,gripe
31634208,Wm,25,Contagem,gripe
31634985,Morgan,31,Betim,febre amarela
31635762,Romaine,31,Belo Horizonte,pneumonia
31636539,Myrle,28,Contagem,febre amarela
31637316,Martha,72,Contagem,febre amarela
31638093,Odis,74,Santa Luzia,febre amarela
31638870,Idamae,66,Santa Luzia,fibromialgia
31639647,Johny,25,Ribeirão das Neves,gripe
31640424,Tolbert,9,Belo Horizonte,pneumonia
31641201,Johnsie,54,Betim,dengue
31641978,Fleda,87,Belo Horizonte,fibromialgia
31642755,Patsy,8,Betim,catapora
31643532,Russell,49,Contagem,dengue
31644309,Helen,69,Santa Luzia,febre amarela
31645086,Margart,62,Betim,febre amarela
31645863,Felicitas,82,Ribeirão das Neves,virose
31646640,Scott,78,Betim,febre amarela
31647417,Early,18,Santa Luzia,gripe
31648194,Luis,47,Betim,gripe
31648971,Elena,27,Betim,cancer
31649748,Garnett,73,Betim,gripe
31650525,Carmela,74,Santa Luzia,pneumonia
31651302,Neil,14,Betim,fibromialgia
31652079,Trudie,84,Contagem,virose
31652856,Avo,72,Betim,catapora
31653633,Ader,34,Belo Horizonte,artrite
31654410,Webster,56,Santa Luzia,artrite
31655187,Gorge,18,Ribeirão das Neves,dengue
31655964,Johnnie,28,Betim,artrite
31656741,Ruperto,16,Ribeirão das Neves,virose
31657518,Coletta,14,Contagem,febre amarela
31658295,Hester,7,Belo Horizonte,febre amarela
31659072,Clemence,12,Ribeirão das Neves,fibromialgia
31659849,Curtiss,46,Contagem,pneumonia
31660626,Willard,53,Santa Luzia,gripe
31661403,Garnett,9,Ribeirão das Neves,pneumonia
31662180,Agustina,80,Ribeirão das Neves,fibromialgia
31662957,Byrdie,87,Ribeirão das Neves,dengue
31663734,Candelario,24,Santa Luzia,dengue
31664511,Lucia,42,Santa Luzia,virose
31665288,Bedford,90,Santa Luzia,dengue
31666065,Anniebell,16,Contagem,dengue
31666842,Evelyn,67,Belo Horizonte,pneumonia
31667619,Wilber,41,Belo Horizonte,gripe
31668396,Obie,73,Belo Horizonte,virose
31669173,Marie,9,Ribeirão das Neves,catapora
31669950,Russell,67,Ribeirão das Neves,catapora
31670727,Francisca,96,Betim,artrite
31671504,Madgie,26,Contagem,dengue
31672281,Georgia,67,Ribeirão das Neves,dengue
31673058,Sarah,58,Ribeirão das Neves,dengue
31673835,Louisa,26,Ribeirão das Neves,gripe
31674612,Vertie,52,Contagem,catapora
31675389,Metha,55,Contagem,covid-19
31676166,Aleene,62,Betim,covid-19
31676943,Elnora,8,Betim,febre amarela
31677720,Reno,40,Betim,virose
31678497,Coy,7,Santa Luzia,virose
31679274,Myrtice,7,Santa Luzia,dengue
31680051,Lloyd,56,Betim,dengue
31680828,Allie,1,Belo Horizonte,artrite
31681605,Odis,95,Belo Horizonte,artrite
31682382,Lola,99,Betim,febre amarela
31683159,Bee,91,Betim,catapora
31683936,Elliott,10,Ribeirão das Neves,virose
31684713,Truman,79,Contagem,pneumonia
31685490,Bessie,12,Belo Horizonte,catapora
31686267,Lular,14,Belo Horizonte,gripe
31687044,Lyle,23,Santa Luzia,covid-19
31687821,Cornelious,88,Betim,cancer
31688598,Chrystal,46,Betim,virose
31689375,Nettie,37,Betim,dengue
31690152,Jenny,39,Ribeirão das Neves,pneumonia
31690929,Alfonzo,61,Contagem,virose
31691706,Vena,75,Betim,pneumonia
31692483,Harlow,51,Santa Luzia,cancer
31693260,Melville,42,Contagem,febre amarela
31694037,Iva,9,Betim,gripe
31694814,Otis,42,Ribeirão das Neves,catapora
31695591,Fern,40,Belo Horizonte,gripe
31696368,Lissie,40,Belo Horizonte,covid-19
31697145,Clarisse,15,Belo Horizonte,pneumonia
31697922,Allene,95,Santa Luzia,pneumonia
31698699,Shizuko,10,Betim,catapora
31699476,Sophia,37,Ribeirão das Neves,fibromialgia
31700253,Antone,63,Betim,artrite
31701030,Vina,99,Contagem,cancer
31701807,Emma,26,Santa Luzia,febre amarela
31702584,Erin,77,Ribeirão das Neves,catapora
31703361,Whitney,87,Contagem,pneumonia
31704138,Warren,37,Santa Luzia,virose
31704915,Dorthy,19,Contagem,pneumonia
31705692,Lennie,49,Ribeirão das Neves,artrite
31706469,Isabel,61,Santa Luzia,fibromialgia
31707246,Alvie,65,Contagem,covid-19
31708023,Gertie,93,Belo Horizonte,gripe
31708800,Hildred,13,Belo Horizonte,cancer
31709577,Selma,46,Ribeirão das Neves,gripe
31710354,Valeria,77,Ribeirão das Neves,artrite
31711131,Almira,51,Santa Luzia,cancer
31711908,Mozelle,86,Ribeirão das Neves,dengue
31712685,Elva,27,Contagem,febre amarela
31713462,Verona,15,Belo Horizonte,gripe
31714239,Rachael,16,Belo Horizonte,cancer
31715016,Glena,43,Betim,artrite
31715793,Wilber,58,Santa Luzia,cancer
31716570,Della,15,Betim,cancer
31717347,Patty,7,Betim,febre amarela
31718124,Beryl,14,Betim,dengue
31718901,Augustus,90,Contagem,dengue
31719678,Virginia,47,Betim,catapora
31720455,Willa,35,Santa Luzia,catapora
31721232,Delmer,6,Belo Horizonte,dengue
31722009,Malissa,16,Contagem,virose
31722786,William,19,Belo Horizonte,virose
31723563,Lavona,95,Belo Horizonte,cancer
31724340,Emery,19,Contagem,dengue
31725117,Iva,89,Ribeirão das Neves,cancer
31725894,Tillie,77,Ribeirão das Neves,febre amarela
31726671,Fredric,93,Contagem,cancer
31727448,Cliff,88,Contagem,covid-19
31728225,Stella,77,Contagem,cancer
31729002,Thaddeus,74,Belo Horizonte,covid-19
31729779,Luciana,72,Belo Horizonte,catapora
31730556,Era,73,Betim,catapora
31731333,Monroe,88,Ribeirão das Neves,gripe
31732110,Madeleine,20,Belo Horizonte,virose
31732887,Miriam,65,Belo Horizonte,artrite
31733664,Florine,5,Belo Horizonte,artrite
31734441,Scott,17,Betim,catapora
31735218,Maye,6,Ribeirão das Neves,fibromialgia
31735995,Patsy,13,Betim,dengue
31736772,Arabella,48,Betim,cancer
31737549,Irena,67,Santa Luzia,covid-19
31738326,Georgie,28,Contagem,dengue
31739103,Merrill,26,Belo Horizonte,covid-19
31739880,Lee,67,Ribeirão das Neves,cancer
31740657,Harmon,82,Santa Luzia,virose
31741434,Lacy,61,Ribeirão das Neves,gripe
31742211,Lucy,59,Betim,gripe
31742988,Lionel,94,Santa Luzia,fibromialgia
31743765,Pinky,39,Ribeirão das Neves,cancer
31744542,Helen,6,Contagem,pneumonia
31745319,Christ,40,Ribeirão das Neves,virose
31746096,Paul,99,Contagem,gripe
31746873,Evaline,37,Betim,pneumonia
31747650,Rebecca,91,Santa Luzia,artrite
31748427,Mozell,63,Contagem,virose
31749204,Nathan,22,Ribeirão das Neves,pneumonia
31749981,Elisabeth,31,Ribeirão das Neves,dengue
31750758,Werner,96,Contagem,dengue
31751535,Otha,84,Ribeirão das Neves,pneumonia
31752312,Gabe,79,Santa Luzia,gripe
31753089,Frances,90,Santa Luzia,catapora
31753866,Ottie,63,Belo Horizonte,catapora
31754643,Philomene,1,Ribeirão das Neves,catapora
31755420,Ressie,73,Betim,cancer
31756197,Gustave,50,Contagem,gripe
31756974,Irena,88,Belo Horizonte,artrite
31757751,Antoinette,15,Ribeirão das Neves,cancer
31758528,Claus,47,Ribeirão das Neves,pneumonia
31759305,Sigrid,43,Betim,febre amarela
31760082,Milo,93,Ribeirão das Neves,pneumonia
31760859,Harrell,20,Belo Horizonte,febre amarela
31761636,Hassie,96,Betim,virose
31762413,Caryl,1,Ribeirão das Neves,gripe
31763190,Einar,20,Contagem,pneumonia
31763967,Delia,83,Ribeirão das Neves,virose
31764744,Nevada,23,Betim,pneumonia
31765521,Aretta,41,Betim,fibromialgia
31766298,Melvin,16,Contagem,gripe
31767075,Delores,94,Santa Luzia,febre amarela
31767852,Ely,34,Belo Horizonte,virose
31768629,Altha,34,Ribeirão das Neves,pneumonia
31769406,Vinnie,88,Santa Luzia,fibromialgia
31770183,Ely,84,Santa Luzia,febre amarela
31770960,Charity,29,Betim,cancer
31771737,Mitchel,39,Santa Luzia,fibromialgia
31772514,Jean,21,Belo Horizonte,cancer
31773291,Genoveva,64,Belo Horizonte,dengue
31774068,Aldine,12,Ribeirão das Neves,gripe
31774845,Celestia,59,Belo Horizonte,febre amarela
31775622,Hamilton,20,Contagem,dengue
31776399,Keith,77,Santa Luzia,gripe
31777176,Micheal,75,Santa Luzia,cancer
31777953,Rossie,5,Betim,artrite
31778730,Madeleine,95,Ribeirão das Neves,fibromialgia
31779507,Levie,46,Betim,pneumonia
31780284,Micheal,74,Belo Horizonte,virose
31781061,Nonnie,21,Contagem,virose
31781838,Lessie,65,Santa Luzia,covid-19
31782615,Ceil,4,Ribeirão das Neves,dengue
31783392,Kate,20,Betim,covid-19
31784169,Cele,85,Betim,pneumonia
31784946,Eugenie,90,Contagem,covid-19
31785723,Samantha,16,Betim,catapora
31786500,Virgie,66,Ribeirão das Neves,fibromialgia
31787277,Gladyce,77,Ribeirão das Neves,artrite
31788054,Atha,80,Betim,gripe
31788831,Noah,7,Betim,cancer
31789608,Miller,34,Belo Horizonte,pneumonia
31790385,Christy,88,Santa Luzia,catapora
31791162,Gable,64,Betim,febre amarela
31791939,Reid,24,Santa Luzia,catapora
31792716,Elfie,88,Betim,pneumonia
31793493,Rosalee,69,Ribeirão das Neves,dengue
31794270,Ada,54,Belo Horizonte,fibromialgia
31795047,Manuela,3,Contagem,covid-19
31795824,Hartley,22,Betim,gripe
31796601,Silas,9,Contagem,pneumonia
31797378,Hershell,84,Betim,febre amarela
31798155,Pearl,91,Santa Luzia,virose
31798932,Margery,85,Betim,catapora
31799709,Karen,57,Belo Horizonte,covid-19
31800486,Roderick,25,Santa Luzia,virose
31801263,Hosea,4,Betim,febre amarela
31802040,Harry,69,Belo Horizonte,pneumonia
31802817,Valeda,60,Ribeirão das Neves,artrite
31803594,Warner,1,Ribeirão das Neves,cancer
31804371,Merle,99,Belo Horizonte,virose
31805148,Lee,9,Ribeirão das Neves,covid-19
31805925,Nolia,51,Santa Luzia,dengue
31806702,Ottilie,55,Santa Luzia,virose
31807479,Ballard,84,Belo Horizonte,gripe
31808256,America,67,Betim,covid-19
31809033,Margie,14,Ribeirão das Neves,cancer
31809810,Nathaniel,69,Belo Horizonte,febre amarela
31810587,Clare,61,Ribeirão das Neves,fibromialgia
31811364,Merle,79,Contagem,febre amarela
31812141,Cleora,17,Contagem,dengue
31812918,Ione,39,Santa Luzia,febre amarela
31813695,Williams,57,Ribeirão das Neves,fibromialgia
31814472,Eular,7,Ribeirão das Neves,dengue
31815249,Norene,79,Santa Luzia,artrite
31816026,Arline,35,Betim,cancer
31816803,Ellar,4,Santa Luzia,covid-19
31817580,Wes,47,Belo Horizonte,artrite
31818357,Mabel,95,Contagem,artrite
31819134,Madalyn,17,Ribeirão das Neves,gripe
31819911,Rodolfo,57,Betim,catapora
31820688,Otto,34,Ribeirão das Neves,pneumonia
31821465,Fannie,58,Ribeirão das Neves,covid-19
31822242,Verner,40,Belo Horizonte,fibromialgia
31823019,Milan,33,Santa Luzia,pneumonia
31823796,Evelene,40,Ribeirão das Neves,dengue
31824573,Malvina,48,Belo Horizonte,covid-19
31825350,Mildred,26,Betim,covid-19
31826127,Bruno,50,Santa Luzia,cancer
31826904,Carter,69,Betim,dengue
31827681,Wiley,29,Contagem,febre amarela
31828458,Oda,17,Belo Horizonte,dengue
31829235,Fae,47,Contagem,gripe
31830012,Elzie,61,Betim,fibromialgia
31830789,Gus,32,Ribeirão das Neves,cancer
31831566,Manie,5,Ribeirão das Neves,pneumonia
31832343,Zeno,34,Betim,fibromialgia
31833120,Hortense,1,Ribeirão das Neves,febre amarela
31833897,Reuben,70,Ribeirão das Neves,pneumonia
31834674,Lucile,39,Contagem,febre amarela
31835451,Claud,29,Santa Luzia,artrite
31836228,Hermine,14,Ribeirão das Neves,artrite
31837005,Eliot,74,Contagem,catapora
31837782,Onie,74,Belo Horizonte,virose
31838559,Tess,12,Santa Luzia,pneumonia
31839336,Lane,84,Betim,fibromialgia
31840113,Sarrah,64,Contagem,fibromialgia
31840890,Elzie,31,Betim,artrite
31841667,Simeon,15,Ribeirão das Neves,cancer
31842444,Guido,44,Contagem,dengue
31843221,Margaretha,9,Ribeirão das Neves,covid-19
31843998,Refugio,93,Belo Horizonte,virose
31844775,Merna,80,Betim,fibromialgia
31845552,Blair,14,Contagem,artrite
31846329,Wade,83,Belo Horizonte,cancer
31847106,Frona,10,Betim,pneumonia
31847883,Elba,15,Contagem,febre amarela
31848660,Golden,55,Belo Horizonte,dengue
31849437,Odessa,78,Contagem,covid-19
31850214,Elgie,81,Contagem,fibromialgia
31850991,Verta,8,Contagem,cancer
31851768,Lottie,40,Ribeirão das Neves,artrite
31852545,Evora,80,Santa Luzia,dengue
31853322,Serena,33,Belo Horizonte,febre amarela
31854099,Elwood,17,Betim,fibromialgia
31854876,Abraham,76,Betim,gripe
31855653,Katharine,34,Ribeirão das Neves,gripe
31856430,Gust,89,Santa Luzia,febre amarela
31857207,Estell,82,Betim,fibromialgia
31857984,Dick,29,Contagem,dengue
31858761,Bette,82,Ribeirão das Neves,cancer
31859538,Gwendolyn,79,Belo Horizonte,cancer
31860315,Lattie,67,Santa Luzia,cancer
31861092,Nova,33,Santa Luzia,catapora
31861869,Glada,61,Belo Horizonte,febre amarela
31862646,Doc,12,Betim,cancer
31863423,Ted,48,Santa Luzia,gripe
31864200,Luverna,67,Santa Luzia,febre amarela
31864977,Lucius,29,Ribeirão das Neves,fibromialgia
31865754,Delmar,83,Santa Luzia,artrite
31866531,Nena,78,Betim,virose
31867308,Benita,58,Ribeirão das Neves,fibromialgia
31868085,Linwood,4,Santa Luzia,virose
31868862,Sabra,8,Belo Horizonte,cancer
31869639,Henry,65,Belo Horizonte,febre amarela
31870416,Cordie,74,Ribeirão das Neves,febre amarela
31871193,Emma,86,Santa Luzia,pneumonia
31871970,Vinnie,53,Ribeirão das Neves,gripe
31872747,Lois,67,Ribeirão das Neves,gripe
31873524,Wash,92,Betim,fibromialgia
31874301,Gertie,68,Santa Luzia,pneumonia
31875078,Ethyl,12,Contagem,pneumonia
31875855,Elijah,33,Betim,virose
31876632,Clarinda,70,Betim,fibromialgia
31877409,Senaida,17,Contagem,covid-19
31878186,Zona,10,Betim,febre amarela
31878963,Lars,45,Santa Luzia,catapora
31879740,Ewart,47,Belo Horizonte,pneumonia
31880517,Octavie,43,Contagem,febre amarela
31881294,Helena,48,Betim,artrite
31882071,Hosea,77,Belo Horizonte,virose
31882848,Leanna,14,Ribeirão das Neves,febre amarela
31883625,Bishop,89,Belo Horizonte,gripe
31884402,Glenn,61,Belo Horizonte,virose
31885179,Elmer,23,Betim,covid-19
31885956,Paralee,13,Belo Horizonte,virose
31886733,Catarino,2,Betim,artrite
31887510,Opal,84,Ribeirão das Neves,virose
31888287,Art,68,Contagem,virose
31889064,Ishmael,87,Belo Horizonte,pneumonia
31889841,Charlott,24,Contagem,febre amarela
31890618,Lawson,88,Contagem,covid-19
31891395,Lucie,21,Santa Luzia,catapora
31892172,Valentine,91,Santa Luzia,pneumonia
31892949,Verlin,25,Ribeirão das Neves,artrite
31893726,Hunter,27,Santa Luzia,fibromialgia
31894503,Antonia,67,Santa Luzia,gripe
31895280,Bennett,73,Contagem,febre amarela
31896057,Loraine,76,Ribeirão das Neves,gripe
31896834,Collis,49,Ribeirão das Neves,dengue
31897611,Courtney,87,Belo Horizonte,virose
31898388,Lorayne,2,Santa Luzia,pneumonia
31899165,Floree,73,Belo Horizonte,cancer
31899942,Leon,66,Santa Luzia,dengue
31900719,Elisha,68,Belo Horizonte,covid-19
31901496,Ethel,37,Belo Horizonte,cancer
31902273,Albert,15,Santa Luzia,cancer
31903050,Hannah,77,Santa Luzia,pneumonia
31903827,Wava,87,Betim,cancer
31904604,Antoinette,8,Contagem,catapora
31905381,Ulysses,9,Ribeirão das Neves,covid-19
31906158,Cloyce,39,Ribeirão das Neves,covid-19
31906935,Bertha,26,Contagem,fibromialgia
31907712,Zelpha,3,Contagem,gripe
31908489,Belinda,95,Belo Horizonte,covid-19
31909266,Thurston,80,Betim,covid-19
31910043,Donie,28,Belo Horizonte,fibromialgia
