crm,nome,idade,cidade,especialidade,numeroA
2326,Freddie,1975-08-05,Betim,Ortopedista,403
2327,May,1963-10-07,Santa Luzia,Neurologista,832
2328,Lavern,1967-11-01,Contagem,Dermatologista,208
2329,Soloman,1997-04-23,Betim,Cirurgião,891
2330,Sie,1970-02-07,Santa Luzia,Neurologista,867
2331,Authur,1975-06-02,Santa Luzia,Dermatologista,112
2332,Garfield,1952-08-17,Santa Luzia,Ortopedista,67
2333,Tillie,1995-07-12,Santa Luzia,Ortopedista,122
2334,Lera,1969-09-14,Ribeirão das Neves,Cardiologista,431
2335,Cleveland,1949-09-20,Betim,Cirurgião,711
2336,Enrico,1955-03-30,Ribeirão das Neves,Ortopedista,785
2337,Eathel,1946-03-28,Betim,Neurologista,700
2338,Baxter,1998-09-22,Belo Horizonte,Pediatra,187
2339,Reynolds,1981-01-20,Santa Luzia,Cardiologista,265
2340,Carl,1974-03-29,Ribeirão das Neves,Pediatra,266
2341,Ione,1945-02-22,Betim,Cardiologista,614
2342,Leaner,1968-09-03,Ribeirão das Neves,Cirurgião,674
2343,Lon,1957-08-28,Contagem,Neurologista,150
2344,Opal,1965-02-27,Santa Luzia,Pediatra,702
2345,Bella,1944-07-09,Betim,Cardiologista,558
2346,Callie,1947-11-27,Ribeirão das Neves,Cardiologista,989
2347,Dora,1960-02-03,Belo Horizonte,Neurologista,630
2348,Linn,1980-11-27,Ribeirão das Neves,Neurologista,181
2349,Edmund,1996-03-27,Santa Luzia,Dermatologista,639
2350,Jennett,1992-04-25,Ribeirão das Neves,Cirurgião,891
2351,Marty,1976-11-04,Belo Horizonte,Cirurgião,198
2352,Jerry,1955-03-25,Ribeirão das Neves,Pediatra,142
2353,Helen,1948-02-23,Santa Luzia,Cardiologista,522
2354,Alcie,1948-08-14,Belo Horizonte,Dermatologista,544
2355,Charles,1975-06-22,Ribeirão das Neves,Ortopedista,477
2356,Florence,1978-02-03,Contagem,Cardiologista,694
2357,Charity,1975-07-06,Betim,Cirurgião,871
2358,Benita,1991-08-24,Contagem,Dermatologista,950
2359,Ruie,1944-01-09,Ribeirão das Neves,Pediatra,948
2360,Rosalee,1949-04-11,Contagem,Pediatra,39
2361,Ella,1971-08-23,Betim,Cirurgião,364
2362,Jesus,1945-02-12,Contagem,Dermatologista,765
2363,Harvey,1966-10-29,Santa Luzia,Dermatologista,761
2364,Emilio,1996-08-12,Contagem,Dermatologista,614
2365,Bennie,1994-09-12,Betim,Ortopedista,284
2366,Fate,1973-12-05,Contagem,Pediatra,522
2367,Napoleon,1961-06-20,Ribeirão das Neves,Cardiologista,924
2368,Raphael,1973-04-01,Belo Horizonte,Dermatologista,794
2369,Junius,1992-08-30,Ribeirão das Neves,Ortopedista,4
2370,Esmond,1994-08-13,Betim,Pediatra,141
2371,Colbert,1990-06-28,Santa Luzia,Ortopedista,157
2372,Mathilde,1978-12-08,Betim,Neurologista,786
2373,Washington,1944-07-22,Belo Horizonte,Cardiologista,151
2374,Myrna,1980-11-22,Santa Luzia,Ortopedista,9
2375,Velna,1967-09-19,Santa Luzia,Dermatologista,856
2376,Susan,1957-09-17,Contagem,Cirurgião,314
2377,Lorenza,1998-03-23,Santa Luzia,Neurologista,457
2378,Ivalee,1982-12-25,Ribeirão das Neves,Cardiologista,612
2379,Refugia,1954-12-13,Ribeirão das Neves,Cardiologista,117
2380,Celia,1945-12-03,Ribeirão das Neves,Cirurgião,424
2381,Natalie,1995-01-13,Santa Luzia,Neurologista,58
2382,Lowell,1951-11-27,Ribeirão das Neves,Cardiologista,889
2383,Mignon,1970-04-22,Contagem,Dermatologista,842
2384,Elmo,1989-10-29,Santa Luzia,Neurologista,456
2385,Reuben,1992-11-28,Contagem,Cirurgião,919
2386,Gail,1945-01-31,Santa Luzia,Dermatologista,995
2387,Ella,1987-11-10,Betim,Cardiologista,263
2388,Creed,1987-12-29,Santa Luzia,Dermatologista,642
2389,Mazie,1948-05-15,Contagem,Ortopedista,25
2390,Osborne,1990-07-22,Ribeirão das Neves,Neurologista,240
2391,Burrell,1944-02-06,Belo Horizonte,Cirurgião,747
2392,Jonah,1992-01-05,Contagem,Cirurgião,472
2393,Burt,1955-02-12,Santa Luzia,Cirurgião,641
2394,Lyda,1992-05-23,Belo Horizonte,Pediatra,96
2395,Eliza,1997-03-16,Ribeirão das Neves,Ortopedista,732
2396,Ama,1946-11-20,Belo Horizonte,Dermatologista,940
2397,Tommie,1998-11-08,Betim,Ortopedista,421
2398,Olive,1989-05-14,Ribeirão das Neves,Dermatologista,747
2399,Lelah,1970-02-03,Contagem,Pediatra,217
2400,Patsy,1991-12-21,Contagem,Cardiologista,552
2401,Lydia,1992-11-19,Belo Horizonte,Ortopedista,676
2402,Hazel,1992-04-30,Belo Horizonte,Cardiologista,64
2403,Monica,1959-10-15,Belo Horizonte,Pediatra,210
2404,Madaline,1946-02-11,Contagem,Neurologista,901
2405,Orlena,1990-12-20,Ribeirão das Neves,Pediatra,851
2406,Zonnie,1971-06-18,Betim,Dermatologista,109
2407,Corrine,1967-12-30,Santa Luzia,Neurologista,540
2408,Jonnie,1975-09-10,Contagem,Cardiologista,328
2409,Luvina,1977-08-28,Belo Horizonte,Neurologista,465
2410,Johnnie,1996-07-03,Belo Horizonte,Pediatra,542
2411,Ethyl,1996-02-17,Belo Horizonte,Cirurgião,337
2412,Albertha,1945-12-05,Santa Luzia,Cirurgião,804
2413,Quincy,1972-07-12,Betim,Cardiologista,262
2414,Joan,1980-02-03,Ribeirão das Neves,Cirurgião,501
2415,Alden,1991-02-12,Ribeirão das Neves,Neurologista,872
2416,Loyd,1967-08-01,Santa Luzia,Neurologista,326
2417,Jeremiah,1993-05-09,Betim,Cirurgião,874
2418,Huey,1960-11-02,Contagem,Ortopedista,939
2419,Sofia,1962-11-12,Belo Horizonte,Ortopedista,681
2420,Earl,1961-04-01,Ribeirão das Neves,Pediatra,81
2421,Pheobe,1992-06-20,Ribeirão das Neves,Pediatra,864
2422,Albin,1977-09-27,Contagem,Pediatra,441
2423,Clyde,1961-03-25,Ribeirão das Neves,Pediatra,441
2424,Dagmar,1975-01-24,Santa Luzia,Ortopedista,26
2425,Lee,1965-07-26,Contagem,Cirurgião,592
2426,Arta,1957-11-09,Ribeirão das Neves,Pediatra,237
2427,Gerald,1972-05-22,Ribeirão das Neves,Pediatra,914
2428,Linna,1950-10-09,Betim,Ortopedista,818
2429,Green,1992-04-10,Contagem,Ortopedista,92
2430,Portia,1956-11-07,Ribeirão das Neves,Neurologista,117
2431,Charles,1950-09-27,Belo Horizonte,Cirurgião,431
2432,Myra,1963-12-05,Betim,Dermatologista,606
2433,Dola,1945-12-15,Belo Horizonte,Dermatologista,646
2434,Basil,1999-05-02,Contagem,Dermatologista,929
2435,Roy,1986-01-18,Contagem,Cardiologista,703
2436,Ala,1946-06-20,Ribeirão das Neves,Pediatra,113
2437,Maryalice,1957-07-17,Ribeirão das Neves,Cirurgião,285
2438,Zita,1975-06-21,Ribeirão das Neves,Ortopedista,704
2439,Glenn,1979-04-04,Belo Horizonte,Dermatologista,350
2440,Laura,1969-08-01,Ribeirão das Neves,Pediatra,545
2441,Thurston,1949-06-11,Belo Horizonte,Cirurgião,488
2442,Venie,1956-12-22,Santa Luzia,Ortopedista,808
2443,Arther,1998-03-23,Belo Horizonte,Ortopedista,778
2444,Lorene,1953-03-14,Santa Luzia,Pediatra,597
2445,Verner,1962-02-23,Contagem,Neurologista,895
2446,Hughie,1973-06-03,Belo Horizonte,Dermatologista,59
2447,Jimmie,1973-10-14,Santa Luzia,Ortopedista,920
2448,Maynard,1997-06-06,Belo Horizonte,Cirurgião,867
2449,Hermina,1945-12-01,Belo Horizonte,Neurologista,741
2450,Josefina,1954-11-14,Santa Luzia,Cardiologista,176
2451,Valeska,1960-06-23,Betim,Ortopedista,658
2452,Ura,1978-01-09,Contagem,Ortopedista,398
2453,Roby,1945-12-03,Ribeirão das Neves,Dermatologista,6
2454,Georgia,1970-11-13,Belo Horizonte,Neurologista,48
2455,Rosina,1980-07-15,Contagem,Cirurgião,312
2456,Isom,1946-05-11,Contagem,Ortopedista,563
2457,Rosena,1962-12-24,Belo Horizonte,Ortopedista,850
2458,Georgiana,1949-12-26,Santa Luzia,Ortopedista,39
2459,Malachi,1989-06-01,Betim,Cirurgião,180
2460,May,1995-04-10,Contagem,Cirurgião,923
2461,Idell,1996-09-28,Contagem,Neurologista,778
2462,Cara,1963-08-15,Belo Horizonte,Pediatra,758
2463,Haywood,1979-12-09,Contagem,Ortopedista,886
2464,Exie,1988-05-10,Ribeirão das Neves,Cardiologista,887
2465,Gabrielle,1975-05-20,Belo Horizonte,Cirurgião,511
2466,Junious,1985-09-30,Betim,Ortopedista,30
2467,Orlo,1997-07-05,Santa Luzia,Pediatra,315
2468,Christopher,1959-12-12,Ribeirão das Neves,Cardiologista,67
2469,Buelah,1955-09-21,Betim,Cardiologista,424
2470,Polly,1998-11-03,Betim,Neurologista,494
2471,Cooper,1985-03-03,Belo Horizonte,Ortopedista,917
2472,Glover,1963-07-07,Santa Luzia,Ortopedista,906
2473,Hampton,1989-08-09,Contagem,Ortopedista,417
2474,Genevieve,1972-09-10,Ribeirão das Neves,Neurologista,464
2475,Selmer,1948-09-21,Ribeirão das Neves,Cirurgião,669
2476,Delton,1964-01-22,Santa Luzia,Cirurgião,136
2477,Donnie,1956-09-17,Belo Horizonte,Ortopedista,584
2478,Francis,1959-12-13,Contagem,Cardiologista,44
2479,Doc,1989-11-02,Contagem,Cardiologista,173
2480,May,1958-05-01,Ribeirão das Neves,Dermatologista,747
2481,Cora,1951-11-09,Contagem,Neurologista,65
2482,Willie,1958-04-20,Ribeirão das Neves,Ortopedista,843
2483,Stephanie,1958-10-30,Belo Horizonte,Dermatologista,535
2484,Abe,1991-07-09,Santa Luzia,Pediatra,982
2485,Lillian,1970-01-31,Betim,Pediatra,499
2486,Dana,1956-11-04,Contagem,Dermatologista,403
2487,Ona,1985-02-25,Betim,Pediatra,583
2488,Meryl,1946-01-25,Betim,Neurologista,838
2489,Naomia,1968-07-19,Santa Luzia,Neurologista,238
2490,Dallie,1948-08-18,Betim,Pediatra,479
2491,Rene,1956-06-08,Betim,Pediatra,100
2492,Verlie,1976-02-25,Santa Luzia,Neurologista,242
2493,Lige,1972-07-31,Belo Horizonte,Neurologista,929
2494,Edmond,1995-03-15,Santa Luzia,Cardiologista,593
2495,Lewis,1951-11-27,Ribeirão das Neves,Cardiologista,776
2496,Albert,1965-07-17,Santa Luzia,Cirurgião,110
2497,Jose,1993-03-30,Belo Horizonte,Neurologista,665
2498,Berenice,1980-02-08,Contagem,Cardiologista,585
2499,Isaac,1996-09-20,Santa Luzia,Neurologista,476
2500,Anie,1966-03-26,Belo Horizonte,Neurologista,430
2501,Addie,1952-11-21,Santa Luzia,Pediatra,225
2502,Ana,1980-05-27,Contagem,Ortopedista,918
2503,Hyman,1992-06-18,Belo Horizonte,Cardiologista,47
2504,Judy,1964-03-01,Santa Luzia,Dermatologista,161
2505,Dwight,1953-02-24,Santa Luzia,Ortopedista,18
2506,Josh,1975-02-23,Betim,Pediatra,949
2507,Evlyn,1979-11-27,Santa Luzia,Ortopedista,124
2508,August,1989-06-15,Ribeirão das Neves,Cirurgião,627
2509,Vassie,1992-04-01,Contagem,Dermatologista,488
2510,Eunice,1944-02-17,Ribeirão das Neves,Neurologista,399
2511,Corina,1996-08-24,Santa Luzia,Cirurgião,228
2512,Aimee,1964-11-14,Betim,Cardiologista,40
2513,Georgie,1971-02-18,Betim,Dermatologista,167
2514,Ossie,1989-06-05,Belo Horizonte,Pediatra,387
2515,Almon,1993-06-02,Santa Luzia,Neurologista,903
2516,Lou,1961-02-18,Contagem,Ortopedista,543
2517,Wilburn,1967-02-14,Betim,Ortopedista,8
2518,Florence,1971-02-14,Contagem,Pediatra,336
2519,Evelena,1985-06-23,Belo Horizonte,Pediatra,794
2520,Louie,1958-09-22,Betim,Ortopedista,911
2521,Malcolm,1961-06-09,Contagem,Pediatra,502
2522,Dola,1961-05-27,Santa Luzia,Cirurgião,873
2523,Addie,1996-08-09,Belo Horizonte,Neurologista,518
2524,Franklin,1979-11-03,Contagem,Neurologista,876
2525,Waverly,1952-07-28,Ribeirão das Neves,Ortopedista,451
2526,Hill,1961-04-20,Santa Luzia,Neurologista,851
2527,Marguerite,1957-03-21,Ribeirão das Neves,Cardiologista,73
2528,Bess,1969-06-18,Contagem,Dermatologista,573
2529,Ima,1994-04-10,Santa Luzia,Ortopedista,822
2530,Ezma,1968-04-15,Contagem,Pediatra,544
2531,Ferman,1962-06-08,Santa Luzia,Cirurgião,875
2532,Ezekiel,1948-12-23,Contagem,Pediatra,486
2533,Almina,1956-06-13,Contagem,Ortopedista,344
2534,Alcie,1970-01-27,Ribeirão das Neves,Ortopedista,210
2535,Esta,1994-06-11,Santa Luzia,Dermatologista,960
2536,John,1998-02-23,Ribeirão das Neves,Neurologista,839
2537,Barnie,1973-04-20,Ribeirão das Neves,Cardiologista,492
2538,Fay,1982-04-29,Santa Luzia,Cardiologista,496
2539,Syble,1963-05-27,Belo Horizonte,Ortopedista,859
2540,Mathew,1956-02-23,Betim,Ortopedista,949
2541,Fritz,1999-03-09,Betim,Ortopedista,369
2542,Honor,1970-12-09,Belo Horizonte,Neurologista,433
2543,Celestine,1982-12-14,Belo Horizonte,Pediatra,678
2544,Leo,1977-12-09,Contagem,Cirurgião,94
2545,Bruce,1956-06-27,Ribeirão das Neves,Cirurgião,106
2546,Elmo,1961-06-15,Ribeirão das Neves,Pediatra,701
2547,Madgie,1963-06-26,Betim,Pediatra,746
2548,Arch,1972-11-05,Santa Luzia,Dermatologista,272
2549,Olie,1959-02-20,Ribeirão das Neves,Pediatra,872
2550,Magnolia,1978-05-27,Ribeirão das Neves,Cardiologista,685
2551,Marry,1981-06-13,Contagem,Dermatologista,720
2552,Amie,1946-06-20,Santa Luzia,Cardiologista,276
2553,Mariam,1981-04-23,Santa Luzia,Dermatologista,20
2554,Honor,1974-07-19,Santa Luzia,Dermatologista,165
2555,Classie,1971-02-23,Contagem,Pediatra,829
2556,Boyce,1960-09-14,Betim,Cirurgião,215
2557,Bennett,1956-11-09,Ribeirão das Neves,Cirurgião,824
2558,Hollie,1949-03-05,Betim,Cardiologista,661
2559,Hosea,1999-01-23,Ribeirão das Neves,Cirurgião,970
2560,Alberto,1979-07-16,Santa Luzia,Neurologista,401
2561,Egbert,1951-08-01,Contagem,Ortopedista,423
2562,Blanch,1966-02-01,Belo Horizonte,Cardiologista,107
2563,Eve,1996-11-13,Ribeirão das Neves,Pediatra,235
2564,Lige,1944-12-12,Santa Luzia,Cirurgião,793
2565,Dona,1963-06-04,Santa Luzia,Neurologista,237
2566,Roslyn,1961-03-28,Contagem,Cardiologista,704
2567,Verla,1983-10-01,Ribeirão das Neves,Cardiologista,900
2568,Thea,1958-06-05,Contagem,Pediatra,330
2569,Zina,1994-11-09,Belo Horizonte,Cardiologista,374
2570,Selina,1995-03-16,Belo Horizonte,Dermatologista,450
2571,Payne,1988-10-15,Betim,Pediatra,254
2572,Desdemona,1962-09-01,Santa Luzia,Cardiologista,245
2573,Maurine,1974-07-26,Santa Luzia,Dermatologista,769
2574,Neil,1971-06-04,Belo Horizonte,Cirurgião,572
2575,Dorotha,1980-06-06,Betim,Neurologista,715
2576,Nolia,1976-04-30,Ribeirão das Neves,Neurologista,360
2577,Minerva,1949-09-07,Santa Luzia,Dermatologista,625
2578,Tressa,1970-05-22,Contagem,Cardiologista,663
2579,Emory,1965-07-16,Santa Luzia,Ortopedista,371
2580,Faye,1957-09-03,Betim,Ortopedista,894
2581,Gayle,1971-10-12,Belo Horizonte,Cirurgião,156
2582,Audree,1963-04-27,Santa Luzia,Cirurgião,626
2583,Bell,1952-12-05,Betim,Ortopedista,515
2584,Bascom,1992-01-02,Santa Luzia,Neurologista,188
2585,Aurora,1947-06-28,Contagem,Dermatologista,878
2586,Missouri,1951-09-05,Ribeirão das Neves,Ortopedista,253
2587,Liza,1958-02-26,Betim,Cirurgião,87
2588,Buna,1982-09-16,Santa Luzia,Neurologista,251
2589,Justin,1948-07-03,Contagem,Ortopedista,387
2590,Alpha,1981-05-27,Contagem,Neurologista,220
2591,Auburn,1948-12-29,Santa Luzia,Cirurgião,215
2592,Gussie,1994-09-11,Contagem,Dermatologista,266
2593,Anner,1976-12-12,Santa Luzia,Ortopedista,636
2594,Fanie,1984-07-15,Betim,Dermatologista,57
2595,Sally,1982-08-06,Contagem,Cirurgião,517
2596,Rosemarie,1976-07-26,Ribeirão das Neves,Dermatologista,501
2597,Dasie,1946-02-27,Santa Luzia,Cirurgião,319
2598,Idonia,1986-10-05,Santa Luzia,Cardiologista,141
2599,Maurine,1997-01-08,Ribeirão das Neves,Neurologista,162
2600,Oda,1971-07-01,Contagem,Neurologista,955
2601,Estel,1999-07-28,Ribeirão das Neves,Neurologista,738
2602,Marion,1957-04-11,Betim,Cirurgião,469
2603,Erving,1968-01-20,Contagem,Cardiologista,814
2604,Julianna,1989-07-20,Ribeirão das Neves,Neurologista,669
2605,Jose,1965-07-31,Contagem,Pediatra,664
2606,Theo,1944-10-27,Santa Luzia,Pediatra,29
2607,Myrl,1945-01-26,Ribeirão das Neves,Cirurgião,723
2608,Sarah,1966-12-08,Contagem,Pediatra,899
2609,Duncan,1986-07-12,Betim,Pediatra,551
2610,Regenia,1953-10-23,Betim,Pediatra,843
2611,Delora,1975-07-21,Belo Horizonte,Cirurgião,476
2612,Rodney,1960-07-05,Ribeirão das Neves,Ortopedista,717
2613,Dee,1971-12-30,Santa Luzia,Ortopedista,11
2614,Orin,1946-09-22,Contagem,Cirurgião,939
2615,Hattie,1964-05-25,Ribeirão das Neves,Ortopedista,224
2616,Margaret,1994-12-04,Belo Horizonte,Cirurgião,561
2617,Elena,1982-02-18,Ribeirão das Neves,Pediatra,70
2618,Roselee,1977-04-06,Betim,Cirurgião,87
2619,Amalia,1980-05-17,Belo Horizonte,Cardiologista,959
2620,Eleanore,1984-07-22,Contagem,Ortopedista,670
2621,Luke,1954-10-05,Betim,Pediatra,230
2622,Eveline,1974-07-10,Betim,Ortopedista,369
2623,Carlos,1992-03-18,Santa Luzia,Cardiologista,286
2624,Lenore,1988-04-05,Santa Luzia,Ortopedista,416
2625,Montgomery,1962-05-01,Betim,Neurologista,431
2626,Lila,1948-12-19,Santa Luzia,Ortopedista,363
2627,Maudie,1990-03-03,Contagem,Dermatologista,393
2628,Rossie,1975-06-20,Ribeirão das Neves,Ortopedista,985
2629,Rona,1946-08-29,Betim,Pediatra,384
2630,Berneice,1974-10-22,Ribeirão das Neves,Dermatologista,735
2631,Fern,1973-05-25,Santa Luzia,Neurologista,592
2632,Willy,1946-04-27,Santa Luzia,Cardiologista,428
2633,Glayds,1990-08-01,Santa Luzia,Cardiologista,755
2634,Irma,1951-07-24,Belo Horizonte,Ortopedista,558
2635,Clella,1960-04-04,Santa Luzia,Cardiologista,310
2636,Wilfred,1973-09-29,Betim,Pediatra,487
2637,Ethyle,1961-07-03,Contagem,Cirurgião,541
2638,Eular,1960-12-14,Betim,Cirurgião,357
2639,Etta,1952-06-27,Santa Luzia,Cardiologista,370
2640,Roseanna,1968-07-09,Belo Horizonte,Cardiologista,690
2641,Llewellyn,1983-01-13,Betim,Pediatra,792
2642,Reola,1967-01-02,Contagem,Cirurgião,916
2643,Elfrieda,1956-08-08,Ribeirão das Neves,Cirurgião,737
2644,Ezekiel,1966-06-02,Contagem,Cirurgião,523
2645,Victor,1994-08-05,Betim,Cardiologista,203
2646,Cyrus,1997-11-23,Belo Horizonte,Pediatra,416
2647,Sterling,1953-07-23,Santa Luzia,Neurologista,577
2648,Odie,1971-01-15,Belo Horizonte,Cirurgião,434
2649,Hal,1953-04-07,Contagem,Cirurgião,463
2650,Eudora,1970-02-19,Ribeirão das Neves,Cirurgião,392
2651,Tom,1993-11-13,Santa Luzia,Dermatologista,791
2652,Ottis,1954-12-17,Ribeirão das Neves,Ortopedista,1000
2653,Angeline,1953-09-19,Belo Horizonte,Neurologista,635
2654,Tom,1987-05-02,Betim,Ortopedista,154
2655,Irving,1972-05-20,Belo Horizonte,Neurologista,541
2656,Euphemia,1982-04-09,Santa Luzia,Neurologista,416
2657,Leanora,1977-07-11,Ribeirão das Neves,Neurologista,972
2658,Clinton,1962-02-03,Belo Horizonte,Ortopedista,45
2659,Trinidad,1975-02-09,Belo Horizonte,Ortopedista,28
2660,Edward,1971-12-18,Santa Luzia,Dermatologista,696
2661,Walton,1996-03-15,Ribeirão das Neves,Neurologista,607
2662,Willis,1946-02-26,Betim,Neurologista,256
2663,Arrena,1956-12-22,Santa Luzia,Cardiologista,15
2664,Hilma,1958-06-10,Belo Horizonte,Pediatra,737
2665,Rilla,1979-08-26,Belo Horizonte,Ortopedista,569
2666,Thurlow,1969-08-09,Betim,Neurologista,796
2667,Tiny,1959-11-04,Santa Luzia,Cardiologista,521
2668,Eben,1990-11-09,Contagem,Ortopedista,261
2669,Manford,1984-05-27,Betim,Cirurgião,507
2670,Raymond,1952-11-29,Santa Luzia,Ortopedista,799
2671,Virgle,1962-10-14,Contagem,Cirurgião,793
2672,Iris,1984-05-31,Santa Luzia,Ortopedista,311
2673,Mollye,1990-11-02,Betim,Dermatologista,303
2674,Clarabel,1953-01-24,Belo Horizonte,Pediatra,69
2675,Fernando,1948-07-06,Ribeirão das Neves,Ortopedista,765
2676,Artie,1998-01-19,Betim,Pediatra,38
2677,Gaylord,1995-12-17,Contagem,Pediatra,837
2678,Blake,1956-11-21,Belo Horizonte,Dermatologista,591
2679,Frank,1949-03-17,Belo Horizonte,Neurologista,226
2680,Willa,1975-06-21,Contagem,Cirurgião,986
2681,Carmen,1973-11-12,Belo Horizonte,Ortopedista,35
2682,Alphonso,1959-12-21,Santa Luzia,Ortopedista,566
2683,Viney,1972-04-08,Belo Horizonte,Cirurgião,636
2684,Abner,1977-09-28,Santa Luzia,Cardiologista,760
2685,Berenice,1970-09-24,Contagem,Neurologista,187
2686,Azelie,1983-09-19,Contagem,Cardiologista,784
2687,Judy,1949-10-08,Belo Horizonte,Neurologista,239
2688,Eileen,1998-03-25,Ribeirão das Neves,Pediatra,478
2689,Teresa,1968-05-12,Betim,Pediatra,47
2690,Elzora,1994-05-26,Belo Horizonte,Cirurgião,440
2691,Leta,1968-12-29,Betim,Neurologista,401
2692,Annette,1980-08-18,Contagem,Ortopedista,717
2693,Alec,1951-02-03,Ribeirão das Neves,Ortopedista,952
2694,William,1953-03-09,Belo Horizonte,Pediatra,17
2695,Cleatus,1971-08-12,Betim,Pediatra,298
2696,Monroe,1970-10-18,Belo Horizonte,Pediatra,945
2697,Waverly,1977-02-16,Santa Luzia,Neurologista,510
2698,Rochelle,1996-10-04,Ribeirão das Neves,Ortopedista,624
2699,Eva,1985-12-11,Contagem,Pediatra,924
2700,Cecilia,1989-05-13,Contagem,Dermatologista,931
2701,Renna,1990-12-05,Ribeirão das Neves,Pediatra,20
2702,Karl,1974-02-06,Santa Luzia,Dermatologista,213
2703,Gayle,1961-12-15,Belo Horizonte,Dermatologista,688
2704,Neal,1952-11-09,Contagem,Ortopedista,932
2705,Quincy,1997-10-14,Betim,Neurologista,132
2706,Leopoldo,1968-08-22,Santa Luzia,Dermatologista,839
2707,Vern,1950-03-29,Belo Horizonte,Cardiologista,211
2708,Zelpha,1991-10-21,Santa Luzia,Neurologista,226
2709,Burgess,1955-01-03,Santa Luzia,Pediatra,510
2710,Josephus,1962-06-08,Belo Horizonte,Neurologista,852
2711,Myrtice,1992-06-14,Betim,Cardiologista,894
2712,Lovett,1976-08-09,Ribeirão das Neves,Cirurgião,112
2713,Caleb,1981-06-03,Santa Luzia,Cirurgião,271
2714,Gertude,1959-04-04,Contagem,Dermatologista,51
2715,Jannie,1948-03-27,Ribeirão das Neves,Cirurgião,691
2716,Eugenio,1987-08-24,Belo Horizonte,Ortopedista,319
2717,Cordelia,1944-02-15,Belo Horizonte,Neurologista,319
2718,Alberta,1948-05-26,Betim,Cardiologista,369
2719,Brownie,1972-08-13,Santa Luzia,Cardiologista,994
2720,Wilford,1984-01-24,Betim,Cirurgião,480
2721,Theo,1994-10-09,Santa Luzia,Pediatra,869
2722,Porter,1945-03-08,Santa Luzia,Pediatra,930
2723,Odette,1973-03-21,Santa Luzia,Ortopedista,201
2724,Oliver,1974-03-15,Belo Horizonte,Neurologista,879
2725,Priscilla,1953-02-02,Belo Horizonte,Pediatra,412
2726,Benito,1949-12-23,Santa Luzia,Cirurgião,995
2727,Elroy,1983-01-10,Santa Luzia,Dermatologista,538
2728,Juan,1955-03-11,Belo Horizonte,Dermatologista,200
2729,Jarvis,1954-06-16,Ribeirão das Neves,Cirurgião,395
2730,Robt,1949-06-01,Belo Horizonte,Pediatra,261
2731,Arleen,1989-11-26,Contagem,Pediatra,760
2732,Justina,1976-05-19,Santa Luzia,Pediatra,136
2733,Cletus,1990-07-13,Contagem,Cirurgião,246
2734,Harvy,1998-05-30,Betim,Ortopedista,354
2735,Dot,1970-02-08,Contagem,Neurologista,339
2736,Pearley,1958-06-04,Santa Luzia,Pediatra,765
2737,Fronie,1964-08-26,Belo Horizonte,Cardiologista,580
2738,Dosha,1996-01-30,Santa Luzia,Pediatra,52
2739,Eldora,1990-09-24,Betim,Pediatra,405
2740,Hermie,1974-04-02,Santa Luzia,Dermatologista,377
2741,Burt,1994-09-07,Betim,Ortopedista,558
2742,Antha,1992-05-17,Contagem,Dermatologista,902
2743,Rena,1953-05-07,Ribeirão das Neves,Pediatra,213
2744,Thelbert,1966-06-03,Belo Horizonte,Neurologista,395
2745,Teodora,1960-07-19,Betim,Cardiologista,83
2746,Cicero,1998-04-23,Ribeirão das Neves,Cirurgião,266
2747,Hortense,1984-03-17,Betim,Pediatra,300
2748,Omie,1955-12-03,Ribeirão das Neves,Dermatologista,574
2749,Noble,1952-08-29,Contagem,Neurologista,220
2750,Guilford,1961-03-30,Belo Horizonte,Ortopedista,907
2751,Sylvester,1981-04-23,Contagem,Pediatra,983
2752,Gerard,1984-10-13,Ribeirão das Neves,Ortopedista,574
2753,Carlotta,1985-07-31,Belo Horizonte,Dermatologista,187
2754,Carrol,1988-02-20,Ribeirão das Neves,Ortopedista,918
2755,Willard,1985-12-26,Betim,Dermatologista,654
2756,Marylee,1972-05-09,Contagem,Cardiologista,624
2757,Dexter,1982-01-16,Contagem,Pediatra,329
2758,Rutha,1968-03-26,Belo Horizonte,Dermatologista,189
2759,Willella,1947-02-03,Ribeirão das Neves,Neurologista,658
2760,Bert,1986-11-24,Betim,Dermatologista,215
2761,Ester,1968-06-05,Ribeirão das Neves,Ortopedista,443
2762,Silva,1992-11-07,Contagem,Cirurgião,622
2763,Lawrence,1949-10-22,Santa Luzia,Pediatra,149
2764,Alwilda,1946-06-10,Belo Horizonte,Pediatra,126
2765,Theckla,1958-04-25,Betim,Cardiologista,949
2766,Lucius,1970-03-14,Contagem,Cirurgião,949
2767,Gertrude,1966-10-29,Contagem,Cardiologista,799
2768,Maryelizabeth,1973-12-12,Ribeirão das Neves,Pediatra,961
2769,Rafael,1956-10-10,Ribeirão das Neves,Neurologista,162
2770,Antonina,1945-06-21,Santa Luzia,Neurologista,411
2771,Rose,1997-07-29,Belo Horizonte,Ortopedista,146
2772,Pearle,1962-05-31,Belo Horizonte,Ortopedista,267
2773,Carmella,1979-03-20,Contagem,Cirurgião,495
2774,Meyer,1999-04-17,Contagem,Neurologista,948
2775,Elsie,1960-06-14,Contagem,Cirurgião,854
2776,Dorris,1946-03-08,Ribeirão das Neves,Neurologista,337
2777,Wesley,1985-07-21,Ribeirão das Neves,Neurologista,915
2778,Steven,1955-05-03,Ribeirão das Neves,Cirurgião,669
