rg,nome,idade,cidade,salario
10712720,Chalmer,1951-01-22,Contagem,1983.00
10712741,Alden,1979-04-24,Betim,1402.00
10712762,Cleon,1950-07-28,Contagem,2266.00
10712783,Turner,1969-12-10,Contagem,1720.00
10712804,Elnora,1954-03-15,Betim,1912.00
10712825,Beryl,1958-08-15,Santa Luzia,1379.00
10712846,Crawford,1976-10-20,Ribeirão das Neves,1588.00
10712867,Gail,1944-04-02,Santa Luzia,1927.00
10712888,Everlean,1949-04-03,Contagem,1817.00
10712909,Harve,1963-01-27,Ribeirão das Neves,1632.00
10712930,Lavinia,1989-04-16,Belo Horizonte,2090.00
10712951,Bernie,1975-01-14,Santa Luzia,2439.00
10712972,Lutie,1992-06-04,Betim,2268.00
10712993,Berdie,1945-05-10,Contagem,1692.00
10713014,Emmer,1958-08-23,Ribeirão das Neves,2105.00
10713035,Solomon,1966-10-08,Contagem,2483.00
10713056,Nellie,1987-06-22,Contagem,1302.00
10713077,Felicia,1981-07-26,Ribeirão das Neves,1667.00
10713098,Emmitt,1950-10-19,Contagem,2145.00
10713119,Francies,1977-08-25,Santa Luzia,2132.00
10713140,Benjiman,1980-02-17,Belo Horizonte,2088.00
10713161,Christine,1975-12-03,Belo Horizonte,2293.00
10713182,Glennie,1976-05-08,Betim,1323.00
10713203,Gail,1976-07-24,Betim,1466.00
10713224,Williemae,1949-05-20,Betim,2076.00
10713245,Arcola,1991-04-02,Belo Horizonte,2421.00
10713266,Delpha,1981-02-02,Betim,1509.00
10713287,Izora,1950-03-02,Betim,1949.00
10713308,Isiah,1999-08-18,Belo Horizonte,1397.00
10713329,Lindsay,1955-02-06,Contagem,1512.00
10713350,Ferris,1988-09-05,Belo Horizonte,1716.00
10713371,Beecher,1962-05-24,Belo Horizonte,2414.00
10713392,Jones,1951-08-23,Ribeirão das Neves,1814.00
10713413,Webster,1992-06-27,Betim,1549.00
10713434,Toney,1975-02-06,Ribeirão das Neves,1601.00
10713455,Waddell,1973-10-24,Betim,2249.00
10713476,Elvira,1990-10-24,Ribeirão das Neves,1750.00
10713497,Adell,1993-05-29,Belo Horizonte,1681.00
10713518,Adriana,1965-01-20,Belo Horizonte,2246.00
10713539,Tula,1969-02-25,Ribeirão das Neves,1402.00
10713560,Mallie,1960-07-31,Ribeirão das Neves,2258.00
10713581,Buddy,1963-11-21,Santa Luzia,2307.00
10713602,Lera,1965-09-20,Contagem,1907.00
10713623,Harry,1960-10-04,Belo Horizonte,1634.00
10713644,Estella,1967-08-30,Santa Luzia,1791.00
10713665,Lugenia,1992-10-15,Betim,2005.00
10713686,Gladyce,1969-03-27,Ribeirão das Neves,1670.00
10713707,Wanita,1994-09-14,Betim,1724.00
10713728,Pedro,1972-11-10,Contagem,1694.00
10713749,Milford,1996-11-28,Betim,1443.00
10713770,Bonnie,1990-02-27,Contagem,1467.00
10713791,Justin,1969-07-30,Santa Luzia,1743.00
10713812,Lorana,1959-01-17,Santa Luzia,2294.00
10713833,Macy,1966-07-29,Contagem,2148.00
10713854,Aurelio,1990-11-03,Ribeirão das Neves,1999.00
10713875,Ann,1982-11-17,Ribeirão das Neves,2486.00
10713896,Wesley,1981-05-02,Contagem,1511.00
10713917,Susie,1972-09-26,Belo Horizonte,1331.00
10713938,Katie,1975-06-13,Betim,1576.00
10713959,Gunhild,1964-03-29,Betim,1625.00
10713980,Pallie,1953-07-01,Ribeirão das Neves,1895.00
10714001,Eartha,1947-12-19,Belo Horizonte,1676.00
10714022,Asa,1987-06-16,Santa Luzia,2208.00
10714043,Golden,1987-11-08,Ribeirão das Neves,2340.00
10714064,Elwood,1985-09-04,Belo Horizonte,2025.00
10714085,Valentine,1978-10-03,Belo Horizonte,1431.00
10714106,Ethel,1982-05-22,Betim,1351.00
10714127,Estella,1978-09-08,Ribeirão das Neves,2156.00
10714148,Moses,1999-02-04,Contagem,1568.00
10714169,Agapita,1949-01-11,Betim,1797.00
10714190,Calvin,1976-11-15,Contagem,1824.00
10714211,Arizona,1961-12-04,Betim,2476.00
10714232,Letty,1992-09-10,Ribeirão das Neves,1721.00
10714253,Fayette,1974-04-02,Contagem,2165.00
10714274,Cassandra,1964-10-23,Belo Horizonte,1489.00
10714295,Pink,1985-03-20,Ribeirão das Neves,1579.00
10714316,Alida,1946-11-18,Ribeirão das Neves,1789.00
10714337,Corrine,1948-08-14,Contagem,2427.00
10714358,Nanny,1950-03-19,Belo Horizonte,1471.00
10714379,Mac,1972-01-26,Contagem,2329.00
10714400,Maryann,1954-10-07,Betim,2497.00
10714421,Daisie,1989-07-01,Belo Horizonte,1735.00
10714442,Euphemie,1961-09-29,Santa Luzia,2017.00
10714463,Madelon,1963-03-01,Contagem,2035.00
10714484,Polly,1985-08-19,Ribeirão das Neves,1346.00
10714505,Perry,1987-09-12,Santa Luzia,1523.00
10714526,Orelia,1965-01-26,Santa Luzia,1549.00
10714547,Sophie,1973-05-01,Contagem,1861.00
10714568,Caroline,1999-05-01,Ribeirão das Neves,1894.00
10714589,Emogene,1957-07-06,Ribeirão das Neves,2146.00
10714610,Florinda,1988-10-28,Belo Horizonte,2394.00
10714631,Flo,1986-01-31,Belo Horizonte,1347.00
10714652,Coy,1986-04-24,Ribeirão das Neves,1961.00
10714673,Oneal,1965-11-13,Santa Luzia,1839.00
10714694,Margherita,1971-01-14,Santa Luzia,1554.00
10714715,Juan,1971-04-10,Belo Horizonte,1673.00
10714736,Herschell,1961-01-01,Ribeirão das Neves,2153.00
10714757,Nita,1967-12-20,Betim,1806.00
10714778,Mintie,1962-04-16,Betim,2049.00
10714799,Claudia,1991-04-18,Santa Luzia,2316.00
10714820,Margert,1993-05-10,Belo Horizonte,1875.00
10714841,Madalene,1954-11-28,Ribeirão das Neves,1671.00
10714862,Meda,1984-06-26,Contagem,1315.00
10714883,Icel,1991-01-16,Ribeirão das Neves,2016.00
10714904,Louetta,1969-12-14,Ribeirão das Neves,2218.00
10714925,Axel,1954-05-07,Ribeirão das Neves,1888.00
10714946,Rhoda,1990-08-31,Ribeirão das Neves,1588.00
10714967,Dema,1990-01-28,Betim,2497.00
10714988,Pinkey,1967-04-29,Contagem,1495.00
10715009,Anetta,1962-02-13,Santa Luzia,2298.00
10715030,Lucinda,1954-02-17,Belo Horizonte,1522.00
10715051,Wayne,1961-05-21,Contagem,1762.00
10715072,Pennie,1955-06-26,Belo Horizonte,2208.00
10715093,Adolph,1955-01-23,Contagem,2168.00
10715114,Catherine,1960-07-23,Contagem,1976.00
10715135,Percy,1972-02-27,Santa Luzia,2259.00
10715156,Adline,1985-10-27,Santa Luzia,2045.00
10715177,Alberto,1950-11-12,Contagem,1885.00
10715198,Alexander,1977-01-01,Ribeirão das Neves,2165.00
10715219,William,1987-01-12,Betim,1996.00
10715240,Elisha,1998-06-30,Contagem,1716.00
10715261,Gene,1972-08-29,Betim,2305.00
10715282,Rena,1959-01-18,Betim,1332.00
10715303,Ouida,1986-05-29,Belo Horizonte,1741.00
10715324,Ottie,1979-06-26,Betim,2495.00
10715345,Benita,1962-09-16,Santa Luzia,2346.00
10715366,Norton,1973-05-23,Belo Horizonte,1582.00
10715387,Posey,1958-09-29,Santa Luzia,1631.00
10715408,Foy,1980-08-17,Contagem,1925.00
10715429,Vallie,1946-12-11,Belo Horizonte,1927.00
10715450,Alpheus,1953-05-27,Belo Horizonte,2203.00
10715471,Jewel,1982-10-27,Contagem,1884.00
10715492,Denzil,1958-08-18,Betim,1483.00
10715513,Amalie,1986-02-19,Betim,2077.00
10715534,Aura,1998-10-17,Santa Luzia,1758.00
10715555,Bernard,1957-03-03,Betim,1441.00
10715576,Anice,1989-07-13,Betim,1326.00
10715597,Carey,1966-04-06,Ribeirão das Neves,2319.00
10715618,Hal,1973-11-13,Belo Horizonte,1575.00
10715639,Ossie,1990-10-17,Santa Luzia,2100.00
10715660,Matilde,1955-04-11,Santa Luzia,1895.00
10715681,Orah,1955-04-24,Contagem,1542.00
10715702,Ursula,1962-06-01,Belo Horizonte,2214.00
10715723,Ivey,1969-09-24,Contagem,2232.00
10715744,Justin,1944-06-23,Betim,1496.00
10715765,Arnita,1982-01-23,Ribeirão das Neves,1511.00
10715786,Everleaner,1958-11-02,Ribeirão das Neves,2029.00
10715807,Larue,1946-05-09,Betim,1752.00
10715828,Mignon,1955-01-03,Ribeirão das Neves,1754.00
10715849,Gorman,1989-11-07,Santa Luzia,1345.00
10715870,Pollie,1963-03-10,Betim,2016.00
10715891,Ernesto,1976-03-02,Santa Luzia,2008.00
10715912,Jessamine,1978-09-27,Belo Horizonte,2093.00
10715933,Lex,1945-06-04,Belo Horizonte,1793.00
10715954,Gilma,1979-03-21,Contagem,2164.00
10715975,Verlin,1984-05-29,Ribeirão das Neves,1873.00
10715996,Alex,1985-04-29,Ribeirão das Neves,1755.00
10716017,Dock,1995-05-29,Ribeirão das Neves,1661.00
10716038,Nolia,1998-11-26,Ribeirão das Neves,1643.00
10716059,Antoinette,1971-04-14,Contagem,2206.00
10716080,Iris,1962-05-04,Santa Luzia,1972.00
10716101,Kay,1958-01-27,Betim,2059.00
10716122,Ashby,1949-09-16,Ribeirão das Neves,2274.00
10716143,Ossie,1992-12-13,Contagem,2020.00
10716164,Marlene,1981-03-11,Santa Luzia,1329.00
10716185,Elma,1973-06-28,Belo Horizonte,2367.00
10716206,Birdie,1947-06-12,Santa Luzia,2029.00
10716227,Henritta,1973-12-14,Santa Luzia,1744.00
10716248,Louis,1992-10-30,Belo Horizonte,1934.00
10716269,Buck,1961-07-10,Betim,1851.00
10716290,Lula,1953-01-07,Contagem,1788.00
10716311,Clarissa,1971-08-09,Ribeirão das Neves,2126.00
10716332,Lota,1966-12-13,Belo Horizonte,1940.00
10716353,Lorraine,1978-03-14,Santa Luzia,1378.00
10716374,Truman,1953-01-06,Contagem,2282.00
10716395,Selmer,1994-07-05,Belo Horizonte,1893.00
10716416,Erna,1984-05-19,Ribeirão das Neves,1656.00
10716437,Aron,1947-11-01,Betim,1428.00
10716458,Thecla,1999-07-08,Belo Horizonte,2011.00
10716479,Lavon,1965-06-30,Santa Luzia,1816.00
10716500,Thorvald,1944-02-18,Ribeirão das Neves,1491.00
10716521,Jule,1966-10-21,Betim,1970.00
10716542,Nancy,1969-08-23,Contagem,1819.00
10716563,Roby,1951-11-27,Belo Horizonte,1678.00
10716584,Margaretha,1975-09-08,Belo Horizonte,1689.00
10716605,Felicia,1963-12-27,Contagem,1719.00
10716626,Lorena,1990-12-08,Betim,1327.00
10716647,Laura,1998-04-27,Contagem,1859.00
10716668,Elia,1971-06-16,Ribeirão das Neves,2490.00
10716689,Yvette,1964-02-22,Belo Horizonte,1805.00
10716710,Katharyn,1974-02-13,Contagem,2385.00
10716731,Fred,1993-04-19,Betim,1776.00
10716752,Barney,1979-10-10,Santa Luzia,1320.00
10716773,Amey,1959-07-08,Ribeirão das Neves,1598.00
10716794,Crawford,1944-01-11,Ribeirão das Neves,2035.00
10716815,Dallie,1946-10-18,Ribeirão das Neves,1607.00
10716836,Francisca,1971-05-09,Ribeirão das Neves,1444.00
10716857,Lavera,1974-11-04,Belo Horizonte,2064.00
10716878,Ellsworth,1963-06-02,Ribeirão das Neves,1690.00
10716899,Murl,1974-11-10,Belo Horizonte,2486.00
10716920,Camille,1945-02-23,Betim,1850.00
10716941,Blair,1965-11-11,Ribeirão das Neves,2458.00
10716962,Junior,1991-09-28,Belo Horizonte,1858.00
10716983,Matthew,1998-03-24,Santa Luzia,1888.00
10717004,Jake,1961-05-10,Contagem,1804.00
10717025,Merle,1975-10-28,Contagem,1417.00
10717046,Lona,1999-08-26,Ribeirão das Neves,2064.00
10717067,Pervis,1990-09-29,Betim,2018.00
10717088,Brooksie,1976-06-29,Betim,2480.00
10717109,Ada,1988-02-25,Ribeirão das Neves,1810.00
10717130,Patsy,1962-04-26,Belo Horizonte,2023.00
10717151,Elmyra,1997-02-15,Ribeirão das Neves,1579.00
10717172,Myrtle,1963-06-08,Betim,1857.00
10717193,Josephine,1951-04-16,Betim,1571.00
10717214,Roscoe,1989-08-12,Ribeirão das Neves,1897.00
10717235,Adele,1977-05-07,Betim,2475.00
10717256,Angela,1965-09-06,Ribeirão das Neves,1615.00
10717277,Claude,1947-04-01,Santa Luzia,1820.00
10717298,Lillie,1992-02-13,Contagem,1436.00
10717319,Florene,1962-12-15,Belo Horizonte,2454.00
10717340,Macel,1984-11-16,Belo Horizonte,2133.00
10717361,Clarion,1967-07-06,Belo Horizonte,1731.00
10717382,Norris,1963-02-11,Belo Horizonte,1405.00
10717403,Candelaria,1991-04-25,Belo Horizonte,1871.00
10717424,Aleda,1959-06-05,Ribeirão das Neves,2001.00
10717445,Tom,1997-06-26,Ribeirão das Neves,1368.00
10717466,Berdie,1954-06-06,Ribeirão das Neves,1457.00
10717487,Mercedes,1964-11-28,Santa Luzia,2365.00
10717508,Clarissa,1971-01-02,Contagem,2175.00
10717529,Ilma,1969-08-21,Belo Horizonte,1902.00
10717550,Verla,1970-02-08,Betim,1720.00
10717571,Fannie,1994-03-04,Betim,1873.00
10717592,Shellie,1955-01-07,Contagem,2286.00
10717613,Irine,1984-06-17,Ribeirão das Neves,2225.00
10717634,Carrie,1999-05-19,Ribeirão das Neves,1494.00
10717655,Winston,1974-05-05,Contagem,2317.00
10717676,Lillian,1950-01-18,Belo Horizonte,1497.00
10717697,Joel,1961-06-03,Santa Luzia,2179.00
10717718,Lucille,1953-04-29,Contagem,2300.00
10717739,Sol,1977-06-29,Betim,2498.00
10717760,Josiah,1959-09-29,Santa Luzia,2389.00
10717781,Hercules,1988-01-13,Contagem,1526.00
10717802,Vangie,1996-11-26,Ribeirão das Neves,2131.00
10717823,Ennis,1987-01-14,Betim,2049.00
10717844,Mima,1993-03-02,Betim,1485.00
10717865,Fredericka,1972-02-07,Belo Horizonte,2121.00
10717886,August,1974-01-06,Betim,1410.00
10717907,Zora,1993-08-06,Belo Horizonte,1640.00
10717928,Hervey,1967-06-28,Contagem,1749.00
10717949,Clemmie,1977-12-05,Belo Horizonte,1614.00
10717970,Mathews,1956-10-28,Santa Luzia,1468.00
10717991,Adaline,1991-06-15,Betim,1524.00
10718012,Rossie,1955-10-14,Contagem,1825.00
10718033,Louis,1979-05-08,Santa Luzia,1804.00
10718054,Grace,1951-11-08,Santa Luzia,2005.00
10718075,Simpson,1950-02-03,Belo Horizonte,2039.00
10718096,Arvel,1994-04-08,Contagem,1826.00
10718117,Volney,1986-02-21,Santa Luzia,1553.00
10718138,Dave,1950-08-12,Contagem,1479.00
10718159,Neil,1972-04-17,Betim,1522.00
10718180,Esther,1972-07-07,Belo Horizonte,1481.00
10718201,Guy,1997-03-12,Santa Luzia,2027.00
10718222,Weaver,1996-03-07,Belo Horizonte,2288.00
10718243,Hermine,1950-02-02,Betim,1570.00
10718264,Lorne,1969-06-13,Santa Luzia,1771.00
10718285,Wilhelmina,1998-06-27,Santa Luzia,1497.00
10718306,Vergil,1986-02-21,Santa Luzia,1532.00
10718327,Clemie,1982-07-18,Santa Luzia,1877.00
10718348,Stanford,1951-06-13,Santa Luzia,1968.00
10718369,Jasper,1993-04-02,Santa Luzia,2267.00
10718390,Providence,1969-02-22,Ribeirão das Neves,1768.00
10718411,Maxine,1997-07-29,Belo Horizonte,1832.00
10718432,Tennie,1994-11-28,Santa Luzia,1410.00
10718453,Elihu,1955-11-06,Santa Luzia,1935.00
10718474,Elma,1981-08-01,Belo Horizonte,1797.00
10718495,Inger,1972-11-18,Santa Luzia,1432.00
10718516,Vaughn,1967-12-29,Betim,2423.00
10718537,Macie,1980-07-08,Betim,1390.00
10718558,Dona,1982-04-06,Betim,2309.00
10718579,Katherine,1954-04-03,Contagem,1686.00
10718600,Zaida,1948-08-21,Betim,1665.00
10718621,Ofelia,1979-01-02,Betim,2328.00
10718642,Vertie,1992-05-06,Ribeirão das Neves,1938.00
10718663,Vance,1956-03-16,Ribeirão das Neves,1967.00
10718684,Eston,1969-06-22,Contagem,1404.00
10718705,Rose,1955-08-10,Contagem,1753.00
10718726,Jessie,1978-07-07,Ribeirão das Neves,1726.00
10718747,Dorris,1950-08-17,Santa Luzia,2473.00
10718768,Monnie,1990-07-25,Santa Luzia,2368.00
10718789,Lovina,1947-09-30,Betim,1777.00
10718810,Olga,1988-06-24,Santa Luzia,1426.00
10718831,Golden,1961-06-28,Ribeirão das Neves,2275.00
10718852,Reka,1980-06-16,Belo Horizonte,1345.00
10718873,Williard,1954-09-24,Santa Luzia,1497.00
10718894,Pete,1951-08-26,Santa Luzia,2224.00
10718915,Hazel,1980-02-14,Ribeirão das Neves,1656.00
10718936,Dawson,1982-06-12,Belo Horizonte,1847.00
10718957,Julian,1964-07-21,Contagem,2388.00
10718978,Berniece,1988-12-02,Belo Horizonte,2198.00
10718999,Cora,1969-06-11,Betim,2177.00
10719020,Letitia,1959-06-21,Contagem,1406.00
10719041,Pierre,1956-12-23,Betim,1838.00
10719062,Vista,1995-12-03,Santa Luzia,2090.00
10719083,Pinkey,1958-11-03,Santa Luzia,1514.00
10719104,Dagmar,1996-08-02,Belo Horizonte,1958.00
10719125,Theron,1985-07-05,Santa Luzia,2335.00
10719146,Joel,1962-12-28,Ribeirão das Neves,1938.00
10719167,Emmet,1968-01-25,Belo Horizonte,1750.00
10719188,Theodore,1956-05-26,Ribeirão das Neves,2301.00
10719209,Marybelle,1990-04-08,Contagem,2365.00
10719230,Sophronia,1968-01-05,Belo Horizonte,1682.00
10719251,Allie,1963-06-28,Betim,1526.00
10719272,Hatty,1953-05-30,Ribeirão das Neves,1539.00
10719293,Sussie,1993-10-06,Betim,1768.00
10719314,Alvie,1982-03-06,Belo Horizonte,1894.00
10719335,Levy,1971-11-29,Santa Luzia,2404.00
10719356,Bobby,1987-03-28,Santa Luzia,1434.00
10719377,Lauretta,1994-09-07,Belo Horizonte,2083.00
10719398,Russel,1978-08-21,Contagem,1496.00
10719419,Nobie,1995-01-06,Belo Horizonte,2499.00
10719440,Genevia,1948-09-03,Contagem,1633.00
10719461,Griffin,1944-11-15,Ribeirão das Neves,2274.00
10719482,Clemence,1957-08-07,Santa Luzia,1975.00
10719503,Vicente,1984-10-28,Belo Horizonte,1345.00
10719524,Lethia,1962-07-09,Santa Luzia,2441.00
10719545,Ray,1963-12-05,Santa Luzia,1558.00
10719566,Marie,1962-12-12,Ribeirão das Neves,1602.00
10719587,Cleda,1977-03-06,Santa Luzia,2074.00
10719608,Violetta,1971-05-14,Belo Horizonte,1674.00
10719629,Zella,1972-07-20,Betim,2380.00
10719650,Edwin,1980-01-28,Belo Horizonte,1356.00
10719671,Opal,1952-05-15,Betim,1815.00
10719692,Leonia,1966-05-11,Contagem,1589.00
10719713,Elzora,1988-05-13,Belo Horizonte,1390.00
10719734,Delight,1966-01-29,Contagem,2397.00
10719755,Marion,1944-01-31,Contagem,2233.00
10719776,Myrta,1991-02-15,Belo Horizonte,1720.00
10719797,Roger,1972-11-17,Belo Horizonte,2289.00
10719818,Adlai,1954-03-20,Santa Luzia,2417.00
10719839,Clinton,1960-07-20,Contagem,1317.00
10719860,Jossie,1954-04-23,Contagem,2380.00
10719881,Veda,1993-11-13,Santa Luzia,2278.00
10719902,Delphina,1971-05-23,Contagem,2465.00
10719923,Vira,1961-01-04,Santa Luzia,1318.00
10719944,Soledad,1945-08-20,Ribeirão das Neves,2090.00
10719965,Lera,1990-01-15,Belo Horizonte,2082.00
10719986,Early,1955-09-03,Ribeirão das Neves,2161.00
10720007,Gretta,1959-12-19,Belo Horizonte,2254.00
10720028,Luana,1953-01-12,Santa Luzia,1631.00
10720049,Josiah,1963-01-10,Santa Luzia,2380.00
10720070,Nadine,1972-07-13,Contagem,1410.00
10720091,Chin,1945-07-27,Ribeirão das Neves,1710.00
10720112,Perina,1989-10-10,Contagem,2489.00
10720133,Young,1973-09-13,Ribeirão das Neves,2453.00
10720154,Callie,1995-04-01,Betim,2112.00
10720175,Warner,1957-09-19,Santa Luzia,1873.00
10720196,Don,1973-10-23,Santa Luzia,2262.00
10720217,Jule,1962-08-03,Santa Luzia,2437.00
10720238,John,1947-06-13,Contagem,1502.00
10720259,Sonya,1979-08-18,Betim,1505.00
10720280,Delores,1992-12-05,Ribeirão das Neves,2056.00
10720301,Frederica,1948-09-28,Betim,2040.00
10720322,Eligah,1991-03-07,Ribeirão das Neves,2026.00
10720343,Elvera,1957-05-22,Contagem,2397.00
10720364,Etha,1961-12-22,Santa Luzia,2433.00
10720385,Bettye,1998-08-14,Belo Horizonte,1723.00
10720406,Lois,1991-11-16,Contagem,2487.00
10720427,Tracy,1955-06-24,Betim,2256.00
10720448,Joy,1985-04-05,Betim,2433.00
10720469,Casper,1958-10-22,Ribeirão das Neves,1950.00
10720490,Aaron,1967-04-08,Belo Horizonte,1326.00
10720511,Lilla,1995-04-13,Betim,2431.00
10720532,Clotilda,1965-02-21,Contagem,2114.00
10720553,Maud,1992-12-12,Belo Horizonte,2408.00
10720574,Colonel,1963-06-27,Belo Horizonte,2107.00
10720595,Rosella,1955-06-18,Contagem,1667.00
10720616,Ewing,1960-11-10,Santa Luzia,1772.00
10720637,Jeannette,1973-08-22,Belo Horizonte,1694.00
10720658,Antonetta,1968-08-29,Contagem,1544.00
10720679,Gale,1975-07-22,Betim,2337.00
10720700,Larkin,1973-05-23,Ribeirão das Neves,2327.00
10720721,Bill,1992-09-15,Betim,1912.00
10720742,Gaylord,1967-01-16,Belo Horizonte,1690.00
10720763,Gertie,1956-07-19,Contagem,1974.00
10720784,Hassie,1987-09-27,Ribeirão das Neves,2347.00
10720805,Lacy,1993-12-27,Ribeirão das Neves,1474.00
10720826,Rudolph,1950-09-09,Contagem,2157.00
10720847,Lucas,1968-11-21,Belo Horizonte,2013.00
10720868,Assunta,1981-08-10,Betim,1450.00
10720889,Lindsay,1978-09-08,Ribeirão das Neves,2268.00
10720910,Dean,1968-12-16,Ribeirão das Neves,2219.00
10720931,Jeanne,1970-09-02,Santa Luzia,2127.00
10720952,Pink,1989-02-03,Betim,1684.00
10720973,Izetta,1992-07-30,Belo Horizonte,2280.00
10720994,Isa,1998-04-22,Belo Horizonte,1881.00
10721015,Virgle,1951-05-09,Santa Luzia,2424.00
10721036,Martin,1977-07-03,Belo Horizonte,1521.00
10721057,Glen,1950-02-15,Ribeirão das Neves,1908.00
10721078,Tempie,1951-10-14,Ribeirão das Neves,1521.00
10721099,Mark,1971-07-24,Belo Horizonte,1611.00
10721120,Ollie,1988-09-06,Santa Luzia,2243.00
10721141,Tracy,1944-11-03,Ribeirão das Neves,2209.00
10721162,Lois,1996-08-17,Betim,1547.00
10721183,Capitola,1997-12-21,Betim,2451.00
10721204,Elfie,1981-12-28,Santa Luzia,1345.00
10721225,Elzie,1954-11-24,Betim,2405.00
10721246,Belton,1987-09-27,Betim,2397.00
10721267,Bernie,1945-10-30,Belo Horizonte,1483.00
10721288,Robie,1987-02-09,Contagem,2330.00
10721309,Alvie,1972-02-24,Contagem,1979.00
10721330,Lila,1994-12-26,Santa Luzia,1871.00
10721351,Theo,1950-12-30,Betim,1767.00
10721372,Ima,1974-01-02,Ribeirão das Neves,1919.00
10721393,Zeta,1973-12-21,Ribeirão das Neves,1855.00
10721414,Mable,1982-03-01,Ribeirão das Neves,2149.00
10721435,Gwendolen,1990-09-06,Santa Luzia,2409.00
10721456,Vivian,1945-01-13,Ribeirão das Neves,1981.00
10721477,Lacy,1969-03-28,Santa Luzia,2050.00
10721498,West,1980-09-09,Betim,1586.00
10721519,Radford,1952-05-27,Betim,1989.00
10721540,Stephanie,1980-04-21,Contagem,1417.00
10721561,Willam,1983-06-05,Santa Luzia,1695.00
10721582,Lockie,1948-01-28,Ribeirão das Neves,1826.00
10721603,Jeff,1974-12-31,Ribeirão das Neves,1644.00
10721624,Burton,1953-02-10,Betim,1565.00
10721645,Astrid,1976-01-09,Betim,1627.00
10721666,Royce,1987-04-20,Santa Luzia,2164.00
10721687,Ivy,1980-10-27,Betim,2299.00
10721708,Delmas,1981-08-05,Betim,1906.00
10721729,Alwine,1946-02-11,Contagem,1500.00
10721750,Harvey,1950-10-19,Belo Horizonte,1353.00
10721771,Leah,1989-07-11,Betim,2451.00
10721792,Roseanna,1987-09-21,Ribeirão das Neves,1724.00
10721813,Hazle,1958-08-05,Ribeirão das Neves,1344.00
10721834,Laverna,1959-02-27,Betim,1741.00
10721855,Rubin,1971-04-07,Belo Horizonte,2281.00
10721876,Hazle,1949-05-26,Santa Luzia,2119.00
10721897,Levy,1978-05-16,Betim,1641.00
10721918,Eller,1964-04-05,Contagem,2239.00
10721939,Melinda,1966-09-04,Ribeirão das Neves,2244.00
10721960,Clora,1967-05-02,Ribeirão das Neves,1877.00
10721981,Hosteen,1991-05-12,Contagem,1463.00
10722002,Augusta,1945-03-08,Belo Horizonte,1492.00
10722023,Vennie,1966-11-10,Santa Luzia,2426.00
10722044,Joel,1962-07-12,Ribeirão das Neves,2237.00
10722065,Zelpha,1986-07-08,Santa Luzia,2312.00
10722086,Calvin,1972-02-14,Ribeirão das Neves,1741.00
10722107,Santiago,1965-11-24,Contagem,1634.00
10722128,Nels,1980-03-25,Ribeirão das Neves,1774.00
10722149,Benjamen,1999-02-21,Contagem,2022.00
10722170,Drew,1972-03-04,Contagem,1527.00
10722191,Norine,1978-05-17,Contagem,2467.00
10722212,Helena,1984-12-10,Belo Horizonte,1496.00
10722233,Ellie,1988-08-13,Betim,1381.00
10722254,Elva,1958-06-17,Ribeirão das Neves,1766.00
10722275,Myrtice,1957-09-07,Contagem,2146.00
10722296,Currie,1981-12-19,Ribeirão das Neves,2289.00
10722317,Verne,1970-07-27,Santa Luzia,1441.00
10722338,Marie,1997-11-12,Belo Horizonte,2176.00
10722359,Eleanora,1944-01-27,Santa Luzia,1530.00
10722380,Almer,1952-01-02,Betim,1767.00
10722401,Lenard,1968-05-02,Betim,2143.00
10722422,Jeremiah,1962-09-15,Belo Horizonte,2137.00
10722443,Manilla,1951-07-05,Betim,1312.00
10722464,Emogene,1959-06-19,Contagem,1446.00
10722485,Dwight,1971-05-02,Santa Luzia,2352.00
10722506,Magdalena,1989-06-22,Santa Luzia,1909.00
10722527,Eliza,1997-05-18,Belo Horizonte,1955.00
10722548,Allean,1955-12-22,Belo Horizonte,1727.00
10722569,Pierre,1950-06-27,Betim,2368.00
10722590,Antoine,1962-07-20,Belo Horizonte,2302.00
10722611,Estill,1954-10-17,Betim,2207.00
10722632,Placida,1963-11-16,Ribeirão das Neves,2186.00
10722653,Waverly,1974-12-24,Santa Luzia,1411.00
10722674,Rita,1998-07-19,Belo Horizonte,1597.00
10722695,Elzie,1982-10-01,Contagem,2201.00
10722716,Floyd,1948-11-12,Santa Luzia,2118.00
10722737,Buna,1968-04-15,Santa Luzia,1444.00
10722758,Oliva,1983-03-21,Santa Luzia,2274.00
10722779,Elliott,1975-04-08,Ribeirão das Neves,1881.00
10722800,Wilma,1955-12-04,Contagem,1310.00
10722821,Taylor,1971-07-12,Belo Horizonte,2345.00
10722842,Zona,1974-02-07,Betim,2398.00
10722863,Silas,1991-02-24,Betim,1336.00
10722884,Cicero,1954-05-06,Santa Luzia,2101.00
10722905,Willian,1948-12-21,Betim,1801.00
10722926,Janice,1971-04-16,Belo Horizonte,1983.00
10722947,Conrad,1992-12-01,Belo Horizonte,2096.00
10722968,Albirta,1947-07-04,Contagem,1964.00
10722989,Anna,1992-11-10,Ribeirão das Neves,1923.00
10723010,Cannie,1998-05-25,Betim,2427.00
10723031,Wayman,1975-05-31,Ribeirão das Neves,2160.00
10723052,Jess,1959-10-23,Belo Horizonte,1567.00
10723073,Jessye,1953-08-10,Santa Luzia,1683.00
10723094,Cain,1957-03-12,Ribeirão das Neves,2071.00
10723115,Minerva,1956-06-12,Betim,2070.00
